Date,Open,High,Low,Close,Volume,Adj Close
2016-07-18,0.62,0.63,0.60,0.60,9100,6.00
2016-07-15,0.62,0.63,0.62,0.62,5500,6.20
2016-07-14,0.64,0.64,0.62,0.62,4900,6.20
2016-07-13,0.64,0.64,0.62,0.63,5200,6.30
2016-07-12,0.61,0.64,0.61,0.63,10600,6.30
2016-07-11,0.63,0.65,0.62,0.63,5600,6.30
2016-07-08,0.63,0.66,0.63,0.65,4200,6.50
2016-07-07,0.65,0.67,0.65,0.65,17800,6.50
2016-07-06,0.62,0.67,0.62,0.64,6500,6.40
2016-07-05,0.64,0.65,0.62,0.62,3600,6.20
2016-07-01,0.64,0.68,0.62,0.64,6900,6.40
2016-06-30,0.63,0.69,0.62,0.66,12100,6.60
2016-06-29,0.68,0.69,0.62,0.62,17200,6.20
2016-06-28,0.61,0.72,0.61,0.67,8400,6.70
2016-06-27,0.63,0.67,0.61,0.65,11900,6.50
2016-06-24,0.70,0.71,0.61,0.63,52600,6.30
2016-06-23,0.73,0.75,0.69,0.70,6100,7.00
2016-06-22,0.71,0.73,0.71,0.73,3100,7.30
2016-06-21,0.71,0.73,0.66,0.71,18700,7.10
2016-06-20,0.74,0.74,0.70,0.71,8200,7.10
2016-06-17,0.73,0.77,0.70,0.75,5400,7.50
2016-06-16,0.74,0.75,0.73,0.73,10800,7.30
2016-06-15,0.72,0.75,0.70,0.74,9500,7.40
2016-06-14,0.73,0.78,0.72,0.78,3000,7.80
2016-06-13,0.79,0.79,0.73,0.77,14700,7.70
2016-06-10,0.79,0.80,0.78,0.80,10300,8.00
2016-06-09,0.77,0.79,0.75,0.79,15600,7.90
2016-06-08,0.81,0.84,0.75,0.77,25600,7.70
2016-06-07,0.70,0.89,0.68,0.80,40700,8.00
2016-06-06,0.68,0.74,0.67,0.74,16400,7.40
2016-06-03,0.69,0.70,0.66,0.68,11500,6.80
2016-06-02,0.74,0.74,0.68,0.72,7400,7.20
2016-06-01,0.74,0.74,0.70,0.74,6100,7.40
2016-05-31,0.80,0.80,0.68,0.73,14400,7.30
