Date,Open,High,Low,Close,Volume,Adj Close
2016-09-21,1.87,2.00,1.87,1.99,21200,1.99
2016-09-20,1.88,1.93,1.83,1.93,2600,1.93
2016-09-19,1.95,1.96,1.84,1.88,15300,1.88
2016-09-16,2.05,2.05,1.83,1.83,26000,1.83
2016-09-15,2.01,2.04,1.97,2.01,15100,2.01
2016-09-14,2.04,2.05,2.00,2.05,11200,2.05
2016-09-13,2.00,2.05,1.93,2.02,12200,2.02
2016-09-12,2.04,2.05,2.02,2.05,6500,2.05
2016-09-09,2.00,2.04,1.98,2.04,6800,2.04
2016-09-08,1.98,2.00,1.95,2.00,5200,2.00
2016-09-07,2.00,2.05,1.98,1.98,12600,1.98
2016-09-06,1.98,2.00,1.97,2.00,10300,2.00
2016-09-02,1.98,1.98,1.98,1.98,800,1.98
2016-09-01,1.96,1.96,1.96,1.96,300,1.96
2016-08-31,1.95,1.97,1.95,1.95,1800,1.95
2016-08-30,1.95,1.97,1.95,1.97,1300,1.97
2016-08-29,1.95,1.95,1.95,1.95,1600,1.95
2016-08-26,1.91,1.91,1.91,1.91,000,1.91
2016-08-25,1.91,1.95,1.90,1.91,1500,1.91
2016-08-24,1.96,2.00,1.90,1.91,2600,1.91
2016-08-23,2.00,2.00,2.00,2.00,600,2.00
2016-08-22,1.95,2.18,1.95,2.00,34900,2.00
2016-08-19,1.97,2.00,1.91,2.00,34400,2.00
2016-08-18,1.96,2.00,1.96,2.00,800,2.00
2016-08-17,2.00,2.00,2.00,2.00,900,2.00
2016-08-16,2.00,2.00,2.00,2.00,200,2.00
2016-08-15,1.96,2.00,1.96,1.96,3300,1.96
2016-08-12,2.05,2.06,1.96,2.00,1900,2.00
2016-08-11,2.00,2.08,1.98,2.01,10900,2.01
2016-08-10,2.06,2.06,1.96,1.96,20000,1.96
2016-08-09,2.20,2.21,2.06,2.06,63200,2.06
2016-08-08,2.09,2.18,1.94,2.12,75600,2.12
2016-08-05,2.13,2.18,2.00,2.13,14000,2.13
2016-08-04,1.90,2.15,1.90,2.15,59300,2.15
2016-08-03,1.90,2.00,1.75,1.90,77100,1.90
2016-08-02,2.04,2.04,1.71,1.89,94300,1.89
2016-08-01,1.79,2.06,1.78,1.99,71700,1.99
2016-07-29,1.90,1.90,1.81,1.89,10800,1.89
2016-07-28,1.90,1.90,1.90,1.90,6200,1.90
2016-07-27,1.86,1.90,1.84,1.90,5800,1.90
2016-07-26,1.84,1.84,1.84,1.84,000,1.84
2016-07-25,1.97,1.97,1.84,1.84,500,1.84
2016-07-22,1.84,1.96,1.84,1.90,7100,1.90
2016-07-21,1.97,2.00,1.84,1.92,38400,1.92
2016-07-20,2.25,2.30,1.89,1.99,49800,1.99
2016-07-19,1.84,3.25,1.84,2.22,468600,2.22
2016-07-18,1.80,1.85,1.79,1.79,8600,1.79
2016-07-15,1.80,1.80,1.80,1.80,400,1.80
2016-07-14,1.80,1.80,1.80,1.80,1000,1.80
2016-07-13,1.83,1.89,1.83,1.87,1600,1.87
2016-07-12,1.85,1.85,1.85,1.85,500,1.85
2016-07-11,1.80,1.80,1.80,1.80,1400,1.80
2016-07-08,1.90,1.90,1.90,1.90,300,1.90
2016-07-07,1.85,1.93,1.83,1.93,4600,1.93
2016-07-06,1.85,1.95,1.85,1.95,1400,1.95
2016-07-05,1.95,1.95,1.95,1.95,000,1.95
2016-07-01,1.95,1.95,1.95,1.95,000,1.95
2016-06-30,1.83,1.95,1.83,1.95,300,1.95
2016-06-29,1.99,1.99,1.99,1.99,000,1.99
2016-06-28,1.99,1.99,1.99,1.99,000,1.99
2016-06-27,1.99,1.99,1.99,1.99,000,1.99
2016-06-24,1.99,1.99,1.99,1.99,000,1.99
2016-06-23,1.99,1.99,1.99,1.99,200,1.99
2016-06-22,1.94,1.94,1.94,1.94,000,1.94
2016-06-21,1.94,1.94,1.94,1.94,000,1.94
2016-06-20,1.94,1.94,1.94,1.94,000,1.94
2016-06-17,1.97,1.97,1.94,1.94,1400,1.94
2016-06-16,1.86,1.99,1.86,1.99,500,1.99
2016-06-15,1.91,1.91,1.89,1.89,300,1.89
2016-06-14,1.83,1.83,1.83,1.83,1300,1.83
2016-06-13,1.85,2.06,1.85,2.06,2200,2.06
2016-06-10,1.91,1.91,1.91,1.91,000,1.91
2016-06-09,1.91,1.91,1.91,1.91,500,1.91
2016-06-08,1.88,1.88,1.88,1.88,000,1.88
2016-06-07,1.89,1.90,1.88,1.88,500,1.88
2016-06-06,2.08,2.08,2.08,2.08,1100,2.08
2016-06-03,1.93,1.96,1.93,1.95,800,1.95
2016-06-02,1.88,1.88,1.88,1.88,000,1.88
2016-06-01,2.07,2.07,1.88,1.88,4200,1.88
2016-05-31,1.95,2.19,1.95,2.10,5700,2.10
2016-05-27,1.99,1.99,1.85,1.85,2200,1.85
2016-05-26,1.78,2.01,1.78,2.01,3400,2.01
2016-05-25,1.90,1.90,1.85,1.89,4300,1.89
2016-05-24,2.02,2.02,1.81,1.85,3300,1.85
2016-05-23,1.84,1.91,1.84,1.91,13000,1.91
2016-05-20,1.86,1.86,1.86,1.86,000,1.86
2016-05-19,2.03,2.03,1.84,1.86,3900,1.86
2016-05-18,2.03,2.03,2.03,2.03,000,2.03
2016-05-17,2.05,2.05,2.03,2.03,800,2.03
2016-05-16,2.05,2.05,1.95,2.04,4000,2.04
2016-05-13,1.93,1.93,1.93,1.93,000,1.93
2016-05-12,2.05,2.07,1.82,1.93,1500,1.93
2016-05-11,2.07,2.07,1.75,1.78,8800,1.78
2016-05-10,2.03,2.07,1.86,1.86,6700,1.86
2016-05-09,2.00,2.12,2.00,2.09,4400,2.09
2016-05-06,1.78,2.05,1.78,2.04,14400,2.04
2016-05-05,1.80,1.80,1.80,1.80,4000,1.80
2016-05-04,1.90,1.90,1.81,1.81,3400,1.81
2016-05-03,1.93,1.93,1.85,1.92,11000,1.92
2016-05-02,1.96,2.05,1.80,2.05,10700,2.05
2016-04-29,1.86,2.00,1.76,1.96,13300,1.96
2016-04-28,2.05,2.05,1.96,2.00,2300,2.00
2016-04-27,1.92,1.92,1.92,1.92,100,1.92
